W0622 00:00:51.750000 1147479 torch/distributed/run.py:793] 
W0622 00:00:51.750000 1147479 torch/distributed/run.py:793] *****************************************
W0622 00:00:51.750000 1147479 torch/distributed/run.py:793] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0622 00:00:51.750000 1147479 torch/distributed/run.py:793] *****************************************
Loaded checkpoint '/home/shulab/wyc/M3A_vision/checkpoint_epoch_240.pth' bect_acc tensor([80.3460], device='cuda:0') (epoch 240)
Epoch: 241/300 | Batch: 4650/5004 | Loss: 3.2541 | Acc: 67.60% | LR: 0.0001032 | 
Epoch: 241/300 | Batch: 4700/5004 | Loss: 3.2953 | Acc: 66.38% | LR: 0.0001032 | 
Epoch: 241/300 | Batch: 4750/5004 | Loss: 3.2937 | Acc: 67.48% | LR: 0.0001031 | 
Epoch: 241/300 | Batch: 4800/5004 | Loss: 3.1745 | Acc: 69.64% | LR: 0.0001031 | 
Epoch: 241/300 | Batch: 4850/5004 | Loss: 3.2879 | Acc: 67.22% | LR: 0.0001031 | 
Epoch: 241/300 | Batch: 4900/5004 | Loss: 3.2798 | Acc: 67.34% | LR: 0.0001030 | 
Epoch: 241/300 | Batch: 4950/5004 | Loss: 3.1465 | Acc: 70.41% | LR: 0.0001030 | 
Epoch: 241/300 | Batch: 5000/5004 | Loss: 3.1422 | Acc: 71.05% | LR: 0.0001030 | 
Val Loss: 1.8210 | Val Acc: 78.55%
Epoch: 242/300 | Batch: 0/5004 | Loss: 3.1972 | Acc: 79.69% | LR: 0.0001030 | 
Epoch: 242/300 | Batch: 50/5004 | Loss: 3.2484 | Acc: 70.68% | LR: 0.0001029 | 
Epoch: 242/300 | Batch: 100/5004 | Loss: 3.1704 | Acc: 70.06% | LR: 0.0001029 | 
Epoch: 242/300 | Batch: 150/5004 | Loss: 3.1229 | Acc: 70.13% | LR: 0.0001029 | 
Epoch: 242/300 | Batch: 200/5004 | Loss: 3.1660 | Acc: 69.84% | LR: 0.0001028 | 
Epoch: 242/300 | Batch: 250/5004 | Loss: 3.1165 | Acc: 71.16% | LR: 0.0001028 | 
Epoch: 242/300 | Batch: 300/5004 | Loss: 3.2614 | Acc: 69.08% | LR: 0.0001028 | 
Epoch: 242/300 | Batch: 350/5004 | Loss: 3.1584 | Acc: 71.09% | LR: 0.0001027 | 
Epoch: 242/300 | Batch: 400/5004 | Loss: 3.2187 | Acc: 70.45% | LR: 0.0001027 | 
Epoch: 242/300 | Batch: 450/5004 | Loss: 3.1931 | Acc: 68.80% | LR: 0.0001027 | 
Epoch: 242/300 | Batch: 500/5004 | Loss: 3.2103 | Acc: 69.39% | LR: 0.0001026 | 
Epoch: 242/300 | Batch: 550/5004 | Loss: 3.1812 | Acc: 70.34% | LR: 0.0001026 | 
Epoch: 242/300 | Batch: 600/5004 | Loss: 3.1781 | Acc: 70.05% | LR: 0.0001026 | 
Epoch: 242/300 | Batch: 650/5004 | Loss: 3.1925 | Acc: 70.34% | LR: 0.0001025 | 
Epoch: 242/300 | Batch: 700/5004 | Loss: 3.1116 | Acc: 72.55% | LR: 0.0001025 | 
Epoch: 242/300 | Batch: 750/5004 | Loss: 3.0871 | Acc: 72.19% | LR: 0.0001025 | 
Epoch: 242/300 | Batch: 800/5004 | Loss: 3.2047 | Acc: 70.94% | LR: 0.0001024 | 
Epoch: 242/300 | Batch: 850/5004 | Loss: 3.2479 | Acc: 68.50% | LR: 0.0001024 | 
Epoch: 242/300 | Batch: 900/5004 | Loss: 3.1218 | Acc: 72.79% | LR: 0.0001024 | 
Epoch: 242/300 | Batch: 950/5004 | Loss: 3.1080 | Acc: 71.49% | LR: 0.0001023 | 
Epoch: 242/300 | Batch: 1000/5004 | Loss: 3.1729 | Acc: 70.16% | LR: 0.0001023 | 
Epoch: 242/300 | Batch: 1050/5004 | Loss: 3.2989 | Acc: 68.43% | LR: 0.0001023 | 
Epoch: 242/300 | Batch: 1100/5004 | Loss: 3.1666 | Acc: 71.48% | LR: 0.0001022 | 
Epoch: 242/300 | Batch: 1150/5004 | Loss: 3.2565 | Acc: 68.59% | LR: 0.0001022 | 
Epoch: 242/300 | Batch: 1200/5004 | Loss: 3.1508 | Acc: 69.26% | LR: 0.0001022 | 
Epoch: 242/300 | Batch: 1250/5004 | Loss: 3.2278 | Acc: 69.49% | LR: 0.0001021 | 
Epoch: 242/300 | Batch: 1300/5004 | Loss: 3.2576 | Acc: 68.38% | LR: 0.0001021 | 
Epoch: 242/300 | Batch: 1350/5004 | Loss: 3.1943 | Acc: 70.21% | LR: 0.0001021 | 
Epoch: 242/300 | Batch: 1400/5004 | Loss: 3.1967 | Acc: 69.48% | LR: 0.0001020 | 
Epoch: 242/300 | Batch: 1450/5004 | Loss: 3.1453 | Acc: 71.13% | LR: 0.0001020 | 
Epoch: 242/300 | Batch: 1500/5004 | Loss: 3.1368 | Acc: 70.81% | LR: 0.0001020 | 
Epoch: 242/300 | Batch: 1550/5004 | Loss: 3.2316 | Acc: 68.30% | LR: 0.0001019 | 
Epoch: 242/300 | Batch: 1600/5004 | Loss: 3.1518 | Acc: 70.86% | LR: 0.0001019 | 
